video_id,title,published_at,duration_sec,content_type,content_type_source,url,views_total,likes_total,comments_total,thumbnail_impressions,thumbnail_ctr,views_first2d,views_first7d,views_first28d,first7d_vs_median,win_views,win_minutes_watched,win_avg_view_duration_sec,win_avg_view_pct,win_subs_gained,win_subs_per_1k_views,win_paid_views,win_organic_views,win_shorts_referred_views,win_traffic_total_views,ad_data_status,pct_views_nonsubscriber,ret_10pct,ret_50pct,ret_90pct,relative_retention_avg
BUiwu47RH84,Enter the Mid! Blown away by the graphics!/ 中盤突入！グラフィックに感動！【Star Fox】,2026-09-04T05:03:58Z,10531,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=BUiwu47RH84,1841,91,6,,,1705.0,1821.0,,0.86,1841,8496,745,7.08,1,0.54,0,1841.0,2.0,1841.0,ok,,,,,
zB61D7qZzdo,Can You Guess This Like a Dragon 8 Karaoke Song? 【Question 1】🎤 #Shidatube,2026-09-03T22:00:33Z,57,SHORTS,heuristic,https://www.youtube.com/watch?v=zB61D7qZzdo,779,50,5,,,575.0,726.0,,0.66,776,122,26,46.46,0,0.0,0,776.0,462.0,776.0,ok,,,,,
qfD7S1D5HQQ,Do you know which character is this?? #TGS2026 #SHIDAtube,2026-09-01T22:44:43Z,75,SHORTS,heuristic,https://www.youtube.com/watch?v=qfD7S1D5HQQ,325,38,5,,,231.0,281.0,,0.26,325,91,38,50.96000000000001,0,0.0,0,325.0,125.0,325.0,ok,,,,,
IeWAaD3ZTXw,Preparing for TGS/ 東京ゲームショウの準備！,2026-09-01T04:11:39Z,7356,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=IeWAaD3ZTXw,2258,122,7,,,2085.0,2190.0,,1.04,2254,7582,456,6.2,3,1.33,0,2254.0,1.0,2254.0,ok,,,,,
CEObm9Fv9co,It draws you in…【Japan Stigmatized Property】 #JSP3 #SHIDAtube,2026-08-31T23:00:36Z,71,SHORTS,heuristic,https://www.youtube.com/watch?v=CEObm9Fv9co,1065,82,9,,,569.0,834.0,,0.76,1055,249,30,42.66,3,2.84,0,1054.0,292.0,1054.0,ok,,,,,
0MNE_inIGXU,A Pro Wrestler’s Relentless Revenge【Castlevania】#ShidaTube #castlevania,2026-08-31T01:11:28Z,47,SHORTS,heuristic,https://www.youtube.com/watch?v=0MNE_inIGXU,1454,44,9,,,1303.0,1405.0,,1.28,1450,269,34,73.08,0,0.0,0,1450.0,1098.0,1450.0,ok,,,,,
Rz6dxno88NY,初の24時間配信で龍が如くを遊び尽くす！,2026-08-29T20:29:56Z,42898,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=Rz6dxno88NY,5552,155,7,,,5231.0,5396.0,,2.55,5539,28614,691,1.6099999999999999,13,2.35,0,5538.0,1.0,5538.0,ok,,,,,
uIV_HWFfVYM,Things You Should Never Say While Watching a Chicken Race【Like a Dragon: Ishin!】,2026-08-28T23:37:14Z,49,SHORTS,heuristic,https://www.youtube.com/watch?v=uIV_HWFfVYM,1129,35,4,,,1025.0,1095.0,1127.0,1.0,1127,137,16,34.49,0,0.0,0,1127.0,868.0,1127.0,ok,,,,,
HuwZoWLdSOg,Back and Forth between New & Old!/ 新旧を行ったり来たり！【Star Fox】,2026-08-28T04:36:59Z,8961,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=HuwZoWLdSOg,1891,88,15,,,1661.0,1806.0,1888.0,0.85,618,1224,362,4.04,0,0.0,0,618.0,0,618.0,ok,,,,,
EwPqE-5nLbM,AI that Laughs at P**P...【Minecraft】,2026-08-26T22:00:05Z,481,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=EwPqE-5nLbM,539,46,16,,,337.0,438.0,534.0,0.25,199,83,62,13.089999999999998,1,5.03,0,199.0,0,199.0,ok,,,,,
7NptBkx71bw,I have a favor tro ask./ お願いがあります。,2026-08-26T04:02:41Z,6556,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=7NptBkx71bw,752,93,7,,,621.0,727.0,751.0,0.34,72,171,621,9.47,0,0.0,0,72.0,0,72.0,ok,,,,,
BDWpYYEFpFs,東急歌舞伎町タワー×『龍が如く』コラボイベント行ってきた！ #龍が如く #SHIDAtube,2026-08-25T23:00:10Z,84,SHORTS,heuristic,https://www.youtube.com/watch?v=BDWpYYEFpFs,1282,83,9,,,577.0,1183.0,1278.0,1.08,210,56,29,35.01,0,0.0,0,210.0,24.0,210.0,ok,,,,,
