video_id,insightTrafficSourceType,views
o9lUtQVCB24,YT_OTHER_PAGE,70.0
o9lUtQVCB24,EXT_URL,345.0
o9lUtQVCB24,PLAYLIST,4.0
o9lUtQVCB24,NOTIFICATION,96.0
o9lUtQVCB24,SHORTS,1.0
o9lUtQVCB24,SHORTS_CONTENT_LINKS,4.0
aec7VvfhHTc,NO_LINK_OTHER,34.0
aec7VvfhHTc,ADVERTISING,14152.0
aec7VvfhHTc,SUBSCRIBER,1114.0
aec7VvfhHTc,YT_CHANNEL,377.0
aec7VvfhHTc,YT_SEARCH,29.0
aec7VvfhHTc,RELATED_VIDEO,57.0
aec7VvfhHTc,YT_OTHER_PAGE,14.0
aec7VvfhHTc,EXT_URL,11.0
aec7VvfhHTc,PLAYLIST,1.0
aec7VvfhHTc,NOTIFICATION,30.0
aec7VvfhHTc,SHORTS_CONTENT_LINKS,2.0
BcLpOEVh6C0,NO_LINK_OTHER,10.0
BcLpOEVh6C0,SUBSCRIBER,3603.0
BcLpOEVh6C0,YT_CHANNEL,305.0
BcLpOEVh6C0,YT_SEARCH,151.0
BcLpOEVh6C0,RELATED_VIDEO,15.0
BcLpOEVh6C0,YT_OTHER_PAGE,102.0
BcLpOEVh6C0,EXT_URL,17.0
BcLpOEVh6C0,PLAYLIST,6.0
BcLpOEVh6C0,NOTIFICATION,93.0
BcLpOEVh6C0,SHORTS,1216.0
9sO6n-KgZ5k,NO_LINK_OTHER,0
9sO6n-KgZ5k,SUBSCRIBER,99.0
9sO6n-KgZ5k,YT_CHANNEL,64.0
9sO6n-KgZ5k,YT_SEARCH,28.0
9sO6n-KgZ5k,YT_OTHER_PAGE,6.0
9sO6n-KgZ5k,NOTIFICATION,26.0
9sO6n-KgZ5k,SHORTS,317.0
bwaS35fv0Ew,NO_LINK_OTHER,39.0
bwaS35fv0Ew,SUBSCRIBER,1696.0
bwaS35fv0Ew,YT_CHANNEL,66.0
bwaS35fv0Ew,YT_SEARCH,30.0
bwaS35fv0Ew,RELATED_VIDEO,56.0
bwaS35fv0Ew,YT_OTHER_PAGE,28.0
bwaS35fv0Ew,EXT_URL,282.0
bwaS35fv0Ew,PLAYLIST,1.0
bwaS35fv0Ew,NOTIFICATION,57.0
fUPQosw2JW0,NO_LINK_OTHER,0
fUPQosw2JW0,SUBSCRIBER,117.0
fUPQosw2JW0,YT_CHANNEL,54.0
fUPQosw2JW0,YT_SEARCH,34.0
fUPQosw2JW0,RELATED_VIDEO,1.0
fUPQosw2JW0,YT_OTHER_PAGE,7.0
fUPQosw2JW0,EXT_URL,40.0
fUPQosw2JW0,NOTIFICATION,45.0
fUPQosw2JW0,SHORTS,135.0
vizWEvEJfCY,NO_LINK_OTHER,59.0
vizWEvEJfCY,SUBSCRIBER,1745.0
vizWEvEJfCY,YT_CHANNEL,58.0
vizWEvEJfCY,YT_SEARCH,29.0
vizWEvEJfCY,RELATED_VIDEO,45.0
vizWEvEJfCY,YT_OTHER_PAGE,32.0
vizWEvEJfCY,EXT_URL,96.0
vizWEvEJfCY,PLAYLIST,1.0
vizWEvEJfCY,NOTIFICATION,83.0
ieY3qWWM314,NO_LINK_OTHER,0
ieY3qWWM314,SUBSCRIBER,194.0
ieY3qWWM314,YT_CHANNEL,34.0
ieY3qWWM314,YT_SEARCH,28.0
ieY3qWWM314,RELATED_VIDEO,1.0
ieY3qWWM314,YT_OTHER_PAGE,12.0
ieY3qWWM314,EXT_URL,38.0
ieY3qWWM314,NOTIFICATION,28.0
ieY3qWWM314,SHORTS,257.0
Mkn1AWEo6Oo,NO_LINK_OTHER,0
Mkn1AWEo6Oo,SUBSCRIBER,132.0
Mkn1AWEo6Oo,YT_CHANNEL,29.0
Mkn1AWEo6Oo,YT_SEARCH,34.0
Mkn1AWEo6Oo,YT_OTHER_PAGE,19.0
Mkn1AWEo6Oo,EXT_URL,36.0
Mkn1AWEo6Oo,NOTIFICATION,37.0
Mkn1AWEo6Oo,SHORTS,1087.0
FojCezLmHIc,NO_LINK_OTHER,17.0
FojCezLmHIc,SUBSCRIBER,1483.0
FojCezLmHIc,YT_CHANNEL,45.0
FojCezLmHIc,YT_SEARCH,85.0
FojCezLmHIc,RELATED_VIDEO,34.0
FojCezLmHIc,YT_OTHER_PAGE,20.0
FojCezLmHIc,EXT_URL,83.0
FojCezLmHIc,PLAYLIST,1.0
FojCezLmHIc,NOTIFICATION,50.0
FojCezLmHIc,SHORTS_CONTENT_LINKS,1.0
AaA8RK9-Pf4,NO_LINK_OTHER,10.0
AaA8RK9-Pf4,SUBSCRIBER,772.0
AaA8RK9-Pf4,YT_CHANNEL,78.0
AaA8RK9-Pf4,YT_SEARCH,12.0
AaA8RK9-Pf4,RELATED_VIDEO,3.0
AaA8RK9-Pf4,YT_OTHER_PAGE,7.0
AaA8RK9-Pf4,EXT_URL,8.0
AaA8RK9-Pf4,PLAYLIST,3.0
AaA8RK9-Pf4,NOTIFICATION,28.0
Gj-LdVgTL74,NO_LINK_OTHER,58.0
Gj-LdVgTL74,SUBSCRIBER,2933.0
Gj-LdVgTL74,YT_CHANNEL,55.0
Gj-LdVgTL74,YT_SEARCH,74.0
Gj-LdVgTL74,RELATED_VIDEO,74.0
Gj-LdVgTL74,YT_OTHER_PAGE,43.0
Gj-LdVgTL74,EXT_URL,245.0
Gj-LdVgTL74,PLAYLIST,4.0
Gj-LdVgTL74,NOTIFICATION,70.0
Gj-LdVgTL74,SHORTS,2.0
MK5YtrPMrWQ,NO_LINK_OTHER,0
MK5YtrPMrWQ,SUBSCRIBER,109.0
