video_id,title,published_at,duration_sec,content_type,content_type_source,url,views_total,likes_total,comments_total,thumbnail_impressions,thumbnail_ctr,views_first2d,views_first7d,views_first28d,first7d_vs_median,win_views,win_minutes_watched,win_avg_view_duration_sec,win_avg_view_pct,win_subs_gained,win_subs_per_1k_views,pct_views_nonsubscriber,ret_10pct,ret_50pct,ret_90pct,relative_retention_avg
Mkn1AWEo6Oo,Can You Guess This Like a Dragon 8 Karaoke Song?【Question 2】🎤#Shidatube,2026-09-06T22:00:24Z,80,SHORTS,heuristic,https://www.youtube.com/watch?v=Mkn1AWEo6Oo,1374,46,7,,,1257.0,1344.0,,1.39,1371,108,22,27.65,0,0.0,,,,,
FojCezLmHIc,超初心者！優しいアドバイス歓迎！【APEX LEGENDS】,2026-09-06T14:12:02Z,10926,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=FojCezLmHIc,1819,76,4,,,1683.0,1788.0,,0.89,1817,5028,453,4.15,1,0.55,,,,,
AaA8RK9-Pf4,AI recommends withdrawing!? Bastion Ramnant【Minecraft】,2026-09-06T02:45:37Z,591,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=AaA8RK9-Pf4,921,32,8,,,742.0,858.0,,1.32,914,329,88,14.95,0,0.0,,,,,
Gj-LdVgTL74,Your comments give me strenbth!/ コメントが力になる！【龍が如く7】,2026-09-05T08:30:48Z,26196,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=Gj-LdVgTL74,3557,119,5,,,1256.0,1416.0,,0.7,3555,23147,976,10.15,3,0.84,,,,,
MK5YtrPMrWQ,The evolution of the graphics is amazing!【Star Fox】【Star Fox 64】 #StarFox #SHIDAtube,2026-09-04T22:00:33Z,75,SHORTS,heuristic,https://www.youtube.com/watch?v=MK5YtrPMrWQ,626,56,6,,,490.0,594.0,,0.62,622,127,28,37.78,0,0.0,,,,,
BUiwu47RH84,Enter the Mid! Blown away by the graphics!/ 中盤突入！グラフィックに感動！【Star Fox】,2026-09-04T05:03:58Z,10531,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=BUiwu47RH84,1840,91,6,,,1705.0,1821.0,,0.9,1836,8670,746,7.090000000000001,1,0.54,,,,,
zB61D7qZzdo,Can You Guess This Like a Dragon 8 Karaoke Song? 【Question 1】🎤 #Shidatube,2026-09-03T22:00:33Z,57,SHORTS,heuristic,https://www.youtube.com/watch?v=zB61D7qZzdo,776,50,5,,,575.0,726.0,,0.75,773,122,26,46.54,0,0.0,,,,,
qfD7S1D5HQQ,Do you know which character is this?? #TGS2026 #SHIDAtube,2026-09-01T22:44:43Z,75,SHORTS,heuristic,https://www.youtube.com/watch?v=qfD7S1D5HQQ,326,38,5,,,231.0,281.0,,0.29,318,90,38,51.76,0,0.0,,,,,
IeWAaD3ZTXw,Preparing for TGS/ 東京ゲームショウの準備！,2026-09-01T04:11:39Z,7356,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=IeWAaD3ZTXw,2254,122,7,,,2085.0,2190.0,,1.09,2252,7695,456,6.21,3,1.33,,,,,
CEObm9Fv9co,It draws you in…【Japan Stigmatized Property】 #JSP3 #SHIDAtube,2026-08-31T23:00:36Z,71,SHORTS,heuristic,https://www.youtube.com/watch?v=CEObm9Fv9co,1055,82,9,,,569.0,834.0,,0.86,1049,249,30,42.69,3,2.86,,,,,
0MNE_inIGXU,A Pro Wrestler’s Relentless Revenge【Castlevania】#ShidaTube #castlevania,2026-08-31T01:11:28Z,47,SHORTS,heuristic,https://www.youtube.com/watch?v=0MNE_inIGXU,1454,44,9,,,1303.0,1405.0,,1.46,1449,270,34,73.62,0,0.0,,,,,
Rz6dxno88NY,初の24時間配信で龍が如くを遊び尽くす！,2026-08-29T20:29:56Z,42898,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=Rz6dxno88NY,5539,155,7,,,5231.0,5396.0,,2.68,5530,28801,692,1.6099999999999999,13,2.35,,,,,
uIV_HWFfVYM,Things You Should Never Say While Watching a Chicken Race【Like a Dragon: Ishin!】,2026-08-28T23:37:14Z,49,SHORTS,heuristic,https://www.youtube.com/watch?v=uIV_HWFfVYM,1129,35,4,,,1025.0,1095.0,,1.14,1128,138,16,34.66,0,0.0,,,,,
HuwZoWLdSOg,Back and Forth between New & Old!/ 新旧を行ったり来たり！【Star Fox】,2026-08-28T04:36:59Z,8961,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=HuwZoWLdSOg,1887,88,15,,,1661.0,1806.0,,0.9,1883,8808,697,7.79,0,0.0,,,,,
EwPqE-5nLbM,AI that Laughs at P**P...【Minecraft】,2026-08-26T22:00:05Z,481,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=EwPqE-5nLbM,537,46,16,,,337.0,438.0,530.0,0.68,530,466,106,22.22,0,0.0,,,,,
7NptBkx71bw,I have a favor tro ask./ お願いがあります。,2026-08-26T04:02:41Z,6556,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=7NptBkx71bw,752,93,7,,,621.0,727.0,753.0,0.36,229,676,275,4.2,0,0.0,,,,,
BDWpYYEFpFs,東急歌舞伎町タワー×『龍が如く』コラボイベント行ってきた！ #龍が如く #SHIDAtube,2026-08-25T23:00:10Z,84,SHORTS,heuristic,https://www.youtube.com/watch?v=BDWpYYEFpFs,1282,83,9,,,577.0,1183.0,1278.0,1.23,959,241,22,26.3,0,0.0,,,,,
UYuNduGKAcg,Revenge Revenge/ リベンジリベンジ【Minecraft】,2026-08-25T03:55:38Z,6438,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=UYuNduGKAcg,768,70,7,,,656.0,730.0,767.0,0.36,113,249,191,2.97,0,0.0,,,,,
Y9FWCHJXMmQ,Full Iron Armor in10 mins!?【Ｍinecraft】,2026-08-23T02:30:00Z,770,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=Y9FWCHJXMmQ,499,34,8,,,183.0,267.0,480.0,0.41,293,138,139,18.06,0,0.0,,,,,
WOsxqc0lHOE,Can an RTA Beginner Wrestler Land a Water Bucket!?【Minecraft】#Minecraft #Shidatube,2026-08-21T22:09:51Z,86,SHORTS,heuristic,https://www.youtube.com/watch?v=WOsxqc0lHOE,1268,83,8,,,1066.0,1181.0,1256.0,1.22,101,28,39,45.36,0,0.0,,,,,
HocDsZIXkcA,"Wrestler and AI,10 mins training!【Ｍinecraft】",2026-08-19T22:00:18Z,639,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=HocDsZIXkcA,293,48,9,,,206.0,252.0,279.0,0.39,40,44,120,18.89,0,0.0,,,,,
